"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO BICE LIQUIDEZ DÓLAR","8506","K","RGFMU","AAAw+cAAhAABPt/AA1","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ DÓLAR","8506","LIQUIDEZ","RGFMU","AAAw+cAAhAABPt/AA1","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","CLASICA","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","D","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","G","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","INVER","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","K","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ PESOS","8063","LARGOPLAZO","RGFMU","AAAw+cAAhAAAACcAAy","Money Market","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","CLASICA","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","D","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","E","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","INSTITUCIO","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE RENTA CORTO PLAZO","8902","K","RGFMU","AAAw+cAAhAABP4EAA3","Renta Fija - < 365 dias","CFM"
